Latitude (decimal degrees):	6.524
Longitude (decimal degrees):	3.379
Elevation (m):	16
Radiation database:	PVGIS-SARAH3


Slope: 15 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20190220:1106,467.84,622.77,67.99,30.7,3.24,0.0
20190220:1206,508.03,678.67,72.49,31.29,3.52,0.0
20190220:1306,595.0,795.38,66.03,31.75,4.14,0.0
20190220:1406,637.63,844.37,54.1,31.49,4.76,0.0
20190220:1506,480.63,626.18,40.52,30.88,5.1,0.0
20190220:1606,275.7,365.71,26.34,30.18,4.9,0.0
20190220:1706,78.07,122.51,11.88,29.59,4.41,0.0
20190220:1806,0.0,0.0,0.0,28.88,4.07,0.0
20190220:1906,0.0,0.0,0.0,28.52,3.72,0.0
20190220:2006,0.0,0.0,0.0,28.33,3.86,0.0
20190220:2106,0.0,0.0,0.0,28.23,4.14,0.0
20190220:2206,0.0,0.0,0.0,28.18,4.48,0.0
20190220:2306,0.0,0.0,0.0,28.09,4.69,0.0
20190221:0006,0.0,0.0,0.0,27.98,4.76,0.0
20190221:0106,0.0,0.0,0.0,27.89,4.62,0.0
20190221:0206,0.0,0.0,0.0,27.79,4.55,0.0
20190221:0306,0.0,0.0,0.0,27.74,4.34,0.0
20190221:0406,0.0,0.0,0.0,27.38,3.86,0.0
20190221:0506,0.0,0.0,0.0,27.38,3.93,0.0
20190221:0606,0.0,0.0,0.0,27.17,3.66,0.0
20190221:0706,120.7,175.49,14.91,27.46,3.52,0.0
20190221:0806,324.25,423.34,29.35,28.22,4.0,0.0
20190221:0906,418.65,545.81,43.48,29.57,4.21,0.0
20190221:1006,565.27,746.47,56.91,30.58,4.21,0.0
20190221:1106,398.26,527.55,68.29,31.27,4.28,0.0
20190221:1206,659.06,881.23,72.84,31.42,4.62,0.0
20190221:1306,635.19,842.18,66.27,31.48,5.24,0.0
20190221:1406,646.55,844.07,54.25,29.99,5.66,0.0
20190221:1506,478.87,618.05,40.61,29.64,5.72,0.0
20190221:1606,292.22,385.81,26.4,29.94,5.45,0.0
20190221:1706,66.78,105.75,11.92,28.99,4.48,0.0
20190221:1806,0.0,0.0,0.0,28.43,4.69,0.0
20190221:1906,0.0,0.0,0.0,28.71,4.0,0.0
20190221:2006,0.0,0.0,0.0,28.53,4.21,0.0
20190221:2106,0.0,0.0,0.0,28.42,4.41,0.0
20190221:2206,0.0,0.0,0.0,28.4,4.83,0.0
20190221:2306,0.0,0.0,0.0,28.33,4.83,0.0
20190222:0006,0.0,0.0,0.0,28.33,4.69,0.0
20190222:0106,0.0,0.0,0.0,28.16,4.55,0.0
20190222:0206,0.0,0.0,0.0,27.98,4.21,0.0
20190222:0306,0.0,0.0,0.0,27.8,4.14,0.0
20190222:0406,0.0,0.0,0.0,27.68,4.0,0.0
20190222:0506,0.0,0.0,0.0,27.4,3.93,0.0
20190222:0606,0.0,0.0,0.0,27.45,4.0,0.0
20190222:0706,42.49,70.26,14.99,27.22,4.0,0.0
20190222:0806,45.29,73.97,29.46,27.76,3.93,0.0
20190222:0906,291.4,382.13,43.63,28.61,4.14,0.0
20190222:1006,568.38,745.47,57.11,29.65,4.48,0.0
20190222:1106,505.44,664.54,68.58,30.06,4.69,0.0
20190222:1206,432.46,568.44,73.2,30.43,5.03,0.0
20190222:1306,518.96,679.91,66.51,29.89,5.1,0.0
20190222:1406,474.24,618.62,54.39,29.08,4.34,0.0
20190222:1506,444.67,574.77,40.7,28.26,4.28,0.0
20190222:1606,247.43,326.36,26.45,28.16,5.17,0.0
20190222:1706,79.86,124.15,11.95,28.09,4.97,0.0
20190222:1806,0.0,0.0,0.0,27.79,4.28,0.0
20190222:1906,0.0,0.0,0.0,27.98,3.86,0.0
20190222:2006,0.0,0.0,0.0,27.94,3.38,0.0
20190222:2106,0.0,0.0,0.0,27.9,3.38,0.0
20190222:2206,0.0,0.0,0.0,27.84,4.0,0.0
20190222:2306,0.0,0.0,0.0,27.8,4.48,0.0
20190223:0006,0.0,0.0,0.0,27.75,4.76,0.0
20190223:0106,0.0,0.0,0.0,27.74,4.76,0.0
20190223:0206,0.0,0.0,0.0,27.7,4.41,0.0
20190223:0306,0.0,0.0,0.0,27.69,3.86,0.0
20190223:0406,0.0,0.0,0.0,27.7,3.52,0.0
20190223:0506,0.0,0.0,0.0,27.58,3.31,0.0
20190223:0606,0.0,0.0,0.0,27.17,2.97,0.0
20190223:0706,113.32,165.32,15.08,27.57,3.31,0.0
20190223:0806,337.68,440.29,29.57,28.45,4.34,0.0
20190223:0906,447.42,582.07,43.77,29.42,4.34,0.0
20190223:1006,564.01,740.91,57.32,29.67,4.28,0.0
20190223:1106,670.53,890.99,68.88,29.74,4.28,0.0
20190223:1206,630.56,833.11,73.57,29.06,4.34,0.0
20190223:1306,468.32,614.01,66.74,29.25,4.28,0.0
20190223:1406,354.66,464.49,54.53,29.58,4.69,0.0
20190223:1506,407.32,525.14,40.79,27.36,4.14,0.0
20190223:1606,128.35,178.06,26.51,27.48,4.48,0.0
20190223:1706,44.9,74.43,11.98,27.72,3.93,0.0
20190223:1806,0.0,0.0,0.0,27.57,4.07,0.0
20190223:1906,0.0,0.0,0.0,27.88,4.14,0.0
20190223:2006,0.0,0.0,0.0,27.64,3.66,0.0
20190223:2106,0.0,0.0,0.0,27.56,3.72,0.0
20190223:2206,0.0,0.0,0.0,27.62,3.93,0.0
20190223:2306,0.0,0.0,0.0,27.57,4.0,0.0
20190224:0006,0.0,0.0,0.0,27.47,4.07,0.0
20190224:0106,0.0,0.0,0.0,27.28,4.07,0.0
20190224:0206,0.0,0.0,0.0,27.12,3.79,0.0
20190224:0306,0.0,0.0,0.0,26.97,3.72,0.0
20190224:0406,0.0,0.0,0.0,26.5,3.72,0.0
20190224:0506,0.0,0.0,0.0,26.79,3.79,0.0
20190224:0606,0.0,0.0,0.0,26.3,3.03,0.0
20190224:0706,131.5,189.97,15.17,26.25,2.28,0.0
20190224:0806,265.02,348.05,29.68,26.29,2.21,0.0
20190224:0906,32.81,57.2,43.92,26.47,2.55,0.0
20190224:1006,53.21,83.83,57.52,26.29,2.28,0.0
20190224:1106,53.14,83.83,69.19,26.65,2.76,0.0
20190224:1206,55.26,86.79,73.93,27.42,3.31,0.0
20190224:1306,51.23,81.86,66.98,28.28,3.79,0.0
20190224:1406,42.77,71.01,54.67,28.9,3.72,0.0
20190224:1506,29.65,53.26,40.87,28.06,3.38,0.0
20190224:1606,31.83,56.22,26.55,27.9,2.28,0.0
20190224:1706,37.98,64.92,12.01,27.57,3.31,0.0
20190224:1806,0.0,0.0,0.0,27.16,3.59,0.0
20190224:1906,0.0,0.0,0.0,27.0,2.34,0.0
20190224:2006,0.0,0.0,0.0,26.95,2.34,0.0
20190224:2106,0.0,0.0,0.0,26.97,2.07,0.0
20190224:2206,0.0,0.0,0.0,27.03,2.0,0.0
20190224:2306,0.0,0.0,0.0,27.07,2.14,0.0
20190225:0006,0.0,0.0,0.0,26.92,2.69,0.0
20190225:0106,0.0,0.0,0.0,26.79,3.24,0.0
20190225:0206,0.0,0.0,0.0,26.6,3.03,0.0
20190225:0306,0.0,0.0,0.0,26.44,3.1,0.0
20190225:0406,0.0,0.0,0.0,26.44,3.03,0.0
20190225:0506,0.0,0.0,0.0,26.41,2.76,0.0
20190225:0606,0.0,0.0,0.0,26.34,2.21,0.0
20190225:0706,34.98,60.16,15.26,26.74,2.83,0.0
20190225:0806,159.06,216.14,29.8,26.56,2.14,0.0
20190225:0906,206.36,275.09,44.07,26.28,1.93,0.0
20190225:1006,109.82,154.84,57.72,26.32,2.55,0.0
20190225:1106,629.3,828.29,69.49,26.93,3.45,0.0
20190225:1206,719.5,960.95,74.3,27.72,3.38,0.0
20190225:1306,590.02,784.24,67.21,28.84,3.1,0.0
20190225:1406,543.8,714.07,54.8,29.28,3.79,0.0
20190225:1506,405.15,528.09,40.95,29.18,3.79,0.0
20190225:1606,166.23,226.34,26.6,28.68,4.0,0.0
20190225:1706,62.11,98.85,12.03,28.43,3.93,0.0
20190225:1806,0.0,0.0,0.0,27.9,3.93,0.0
20190225:1906,0.0,0.0,0.0,27.52,3.59,0.0
20190225:2006,0.0,0.0,0.0,27.51,3.45,0.0
20190225:2106,0.0,0.0,0.0,27.64,3.38,0.0
20190225:2206,0.0,0.0,0.0,27.65,3.24,0.0
20190225:2306,0.0,0.0,0.0,27.62,3.17,0.0
20190226:0006,0.0,0.0,0.0,27.59,3.52,0.0
20190226:0106,0.0,0.0,0.0,27.49,3.66,0.0
20190226:0206,0.0,0.0,0.0,27.32,3.59,0.0
20190226:0306,0.0,0.0,0.0,27.26,3.59,0.0
20190226:0406,0.0,0.0,0.0,27.25,3.52,0.0
20190226:0506,0.0,0.0,0.0,27.18,3.03,0.0
20190226:0606,0.0,0.0,0.0,26.49,2.28,0.0
20190226:0706,120.6,174.63,15.36,26.09,1.93,0.0
20190226:0806,306.13,401.38,29.92,25.48,1.24,0.0
20190226:0906,333.4,436.83,44.22,25.11,0.9,0.0
20190226:1006,427.09,566.87,57.93,25.87,0.69,0.0
20190226:1106,157.55,215.99,69.79,27.02,0.83,0.0
20190226:1206,191.95,259.38,74.66,28.0,1.93,0.0
20190226:1306,81.25,120.32,67.43,28.36,2.62,0.0
20190226:1406,137.46,190.35,54.92,28.09,3.1,0.0
20190226:1506,65.15,99.61,41.02,27.92,3.31,0.0
20190226:1606,39.98,67.06,26.64,27.94,3.66,0.0
20190226:1706,18.41,37.48,12.05,27.66,3.38,0.0
20190226:1806,0.0,0.0,0.0,27.32,2.9,0.0
20190226:1906,0.0,0.0,0.0,26.92,3.03,0.0
20190226:2006,0.0,0.0,0.0,26.76,3.24,0.0
20190226:2106,0.0,0.0,0.0,26.65,3.24,0.0
20190226:2206,0.0,0.0,0.0,26.54,2.97,0.0
20190226:2306,0.0,0.0,0.0,26.39,3.17,0.0
20190227:0006,0.0,0.0,0.0,26.35,3.31,0.0
20190227:0106,0.0,0.0,0.0,26.46,2.62,0.0
20190227:0206,0.0,0.0,0.0,26.04,1.03,0.0
20190227:0306,0.0,0.0,0.0,26.26,0.48,0.0
20190227:0406,0.0,0.0,0.0,25.79,0.55,0.0
20190227:0506,0.0,0.0,0.0,25.54,0.55,0.0
20190227:0606,0.0,0.0,0.0,25.93,0.14,0.0
20190227:0706,104.68,153.37,15.46,26.44,0.55,0.0
20190227:0806,285.15,379.39,30.04,27.63,0.9,0.0
20190227:0906,527.78,701.83,44.37,28.58,1.72,0.0
20190227:1006,624.75,836.74,58.14,29.05,2.48,0.0
20190227:1106,735.57,1002.34,70.1,28.34,2.34,0.0
20190227:1206,739.75,1006.97,75.03,28.3,2.48,0.0
20190227:1306,444.05,582.63,67.65,28.18,3.31,0.0
20190227:1406,333.99,438.56,55.04,27.91,2.83,0.0
20190227:1506,280.6,370.04,41.09,27.73,2.21,0.0
20190227:1606,221.97,296.86,26.68,27.6,2.07,0.0
20190227:1706,93.38,144.65,12.07,27.35,2.14,0.0
20190227:1806,0.0,0.0,0.0,27.08,2.0,0.0
20190227:1906,0.0,0.0,0.0,27.53,1.45,0.0
20190227:2006,0.0,0.0,0.0,27.44,1.79,0.0
20190227:2106,0.0,0.0,0.0,27.17,1.52,0.0
20190227:2206,0.0,0.0,0.0,27.24,2.14,0.0
20190227:2306,0.0,0.0,0.0,27.09,2.14,0.0
20190228:0006,0.0,0.0,0.0,27.03,1.86,0.0
20190228:0106,0.0,0.0,0.0,26.9,1.66,0.0
20190228:0206,0.0,0.0,0.0,26.7,1.52,0.0
20190228:0306,0.0,0.0,0.0,26.57,1.45,0.0
20190228:0406,0.0,0.0,0.0,26.11,1.38,0.0
20190228:0506,0.0,0.0,0.0,25.68,1.24,0.0
20190228:0606,0.0,0.0,0.0,25.48,1.45,0.0
20190228:0706,134.35,194.08,15.56,26.02,1.38,0.0
20190228:0806,342.73,449.32,30.16,27.11,2.14,0.0
20190228:0906,528.29,694.85,44.52,28.26,2.48,0.0
20190228:1006,562.62,752.23,58.34,28.9,2.14,0.0
20190228:1106,495.39,666.78,70.41,29.68,1.79,0.0
20190228:1206,553.41,747.26,75.4,29.9,2.14,0.0
20190228:1306,599.47,806.74,67.87,30.27,2.76,0.0
20190228:1406,577.87,766.6,55.16,30.34,3.45,0.0
20190228:1506,452.26,590.2,41.16,29.23,3.52,0.0
20190228:1606,251.82,335.56,26.72,29.12,3.38,0.0
20190228:1706,37.65,64.8,12.09,28.7,3.1,0.0
20190228:1806,0.0,0.0,0.0,28.29,3.17,0.0
20190228:1906,0.0,0.0,0.0,28.06,2.0,0.0
20190228:2006,0.0,0.0,0.0,27.86,2.14,0.0
20190228:2106,0.0,0.0,0.0,27.72,2.76,0.0
20190228:2206,0.0,0.0,0.0,27.62,3.1,0.0
20190228:2306,0.0,0.0,0.0,27.53,3.31,0.0
20190301:0006,0.0,0.0,0.0,27.42,3.1,0.0
20190301:0106,0.0,0.0,0.0,27.29,2.48,0.0
20190301:0206,0.0,0.0,0.0,27.27,2.34,0.0
20190301:0306,0.0,0.0,0.0,27.16,2.41,0.0
20190301:0406,0.0,0.0,0.0,26.94,2.55,0.0
20190301:0506,0.0,0.0,0.0,26.88,2.34,0.0
20190301:0606,0.0,0.0,0.0,26.89,2.07,0.0
20190301:0706,61.57,94.6,15.66,25.1,2.34,0.0
20190301:0806,123.47,171.05,30.28,25.21,2.07,0.0
20190301:0906,209.59,278.02,44.68,25.74,2.28,0.0
20190301:1006,471.74,621.38,58.55,26.32,1.72,0.0
20190301:1106,474.12,635.14,70.71,27.19,1.03,0.0
20190301:1206,743.3,1034.07,75.77,27.78,1.38,0.0
20190301:1306,712.05,979.37,68.08,28.26,1.66,0.0
20190301:1406,610.47,824.08,55.27,28.61,1.66,0.0
20190301:1506,300.0,397.37,41.22,28.49,1.72,0.0
20190301:1606,57.96,90.73,26.75,28.33,1.86,0.0
20190301:1706,63.11,100.43,12.1,28.05,2.0,0.0
20190301:1806,0.0,0.0,0.0,27.66,2.48,0.0
20190301:1906,0.0,0.0,0.0,27.21,2.9,0.0
20190301:2006,0.0,0.0,0.0,27.07,3.03,0.0
20190301:2106,0.0,0.0,0.0,26.98,2.97,0.0
20190301:2206,0.0,0.0,0.0,27.02,2.69,0.0
20190301:2306,0.0,0.0,0.0,27.02,2.69,0.0
20190302:0006,0.0,0.0,0.0,27.02,2.69,0.0
20190302:0106,0.0,0.0,0.0,26.93,2.9,0.0
20190302:0206,0.0,0.0,0.0,26.83,3.03,0.0
20190302:0306,0.0,0.0,0.0,26.75,3.03,0.0
20190302:0406,0.0,0.0,0.0,26.64,2.83,0.0
20190302:0506,0.0,0.0,0.0,26.59,2.69,0.0
20190302:0606,0.0,0.0,0.0,26.5,2.48,0.0
20190302:0706,126.69,183.6,15.77,27.16,1.86,0.0
20190302:0806,340.13,449.28,30.4,28.24,1.93,0.0
20190302:0906,454.38,599.4,44.83,29.13,2.34,0.0
20190302:1006,615.67,828.7,58.75,29.86,2.41,0.0
20190302:1106,731.04,1003.23,71.02,30.37,2.62,0.0
20190302:1206,755.29,1036.64,76.15,30.74,3.03,0.0
20190302:1306,714.88,967.12,68.29,28.41,2.62,0.0
20190302:1406,615.96,817.21,55.37,28.57,2.9,0.0
20190302:1506,470.51,614.26,41.28,29.28,3.59,0.0
20190302:1606,280.16,370.87,26.78,28.8,3.86,0.0
20190302:1706,72.51,113.96,12.11,28.34,3.59,0.0
20190302:1806,0.0,0.0,0.0,27.93,3.66,0.0
20190302:1906,0.0,0.0,0.0,27.88,3.38,0.0
20190302:2006,0.0,0.0,0.0,27.66,3.17,0.0
20190302:2106,0.0,0.0,0.0,27.53,3.24,0.0
20190302:2206,0.0,0.0,0.0,27.44,3.31,0.0
20190302:2306,0.0,0.0,0.0,27.33,3.24,0.0
20190303:0006,0.0,0.0,0.0,27.24,3.03,0.0
20190303:0106,0.0,0.0,0.0,27.15,2.83,0.0
20190303:0206,0.0,0.0,0.0,27.1,2.62,0.0
20190303:0306,0.0,0.0,0.0,27.04,2.28,0.0
20190303:0406,0.0,0.0,0.0,26.86,2.28,0.0
20190303:0506,0.0,0.0,0.0,26.63,2.41,0.0
20190303:0606,0.0,0.0,0.0,26.53,2.07,0.0
20190303:0706,112.86,164.15,15.87,27.06,1.86,0.0
20190303:0806,327.1,431.45,30.53,28.02,2.0,0.0
20190303:0906,468.53,618.24,44.99,28.67,2.14,0.0
20190303:1006,551.74,738.6,58.96,29.38,2.21,0.0
20190303:1106,723.71,992.05,71.33,29.96,2.48,0.0
20190303:1206,718.05,974.48,76.52,30.39,3.31,0.0
20190303:1306,651.78,867.57,68.49,29.74,3.93,0.0
20190303:1406,535.5,703.12,55.48,29.65,4.07,0.0
20190303:1506,472.16,616.31,41.33,29.52,3.79,0.0
20190303:1606,283.9,376.65,26.81,29.24,3.79,0.0
20190303:1706,83.95,131.36,12.12,28.81,3.24,0.0
20190303:1806,0.0,0.0,0.0,28.28,3.24,0.0
20190303:1906,0.0,0.0,0.0,27.85,2.83,0.0
20190303:2006,0.0,0.0,0.0,27.58,3.24,0.0
20190303:2106,0.0,0.0,0.0,27.52,3.72,0.0
20190303:2206,0.0,0.0,0.0,27.44,4.14,0.0
20190303:2306,0.0,0.0,0.0,27.42,4.14,0.0
20190304:0006,0.0,0.0,0.0,27.36,4.14,0.0
20190304:0106,0.0,0.0,0.0,27.32,4.34,0.0
20190304:0206,0.0,0.0,0.0,27.28,4.69,0.0
20190304:0306,0.0,0.0,0.0,27.2,4.14,0.0
20190304:0406,0.0,0.0,0.0,27.06,3.1,0.0
20190304:0506,0.0,0.0,0.0,27.0,2.62,0.0
20190304:0606,0.0,0.0,0.0,26.88,2.55,0.0
20190304:0706,84.63,125.88,15.98,27.44,2.76,0.0
20190304:0806,306.48,401.9,30.66,28.24,3.45,0.0
20190304:0906,345.21,452.38,45.14,29.19,3.72,0.0
20190304:1006,501.85,660.21,59.17,29.61,3.86,0.0
20190304:1106,479.6,633.59,71.64,30.21,4.07,0.0
20190304:1206,615.86,819.4,76.89,30.55,4.41,0.0
20190304:1306,703.87,933.09,68.68,29.59,4.69,0.0
20190304:1406,605.43,796.98,55.57,27.82,3.17,0.0
20190304:1506,359.03,466.09,41.38,27.97,4.0,0.0
20190304:1606,215.0,286.67,26.83,28.36,4.69,0.0
20190304:1706,65.17,103.29,12.12,28.14,4.55,0.0
20190304:1806,0.0,0.0,0.0,27.66,4.21,0.0
20190304:1906,0.0,0.0,0.0,27.44,4.28,0.0
20190304:2006,0.0,0.0,0.0,27.18,4.07,0.0
20190304:2106,0.0,0.0,0.0,27.1,4.0,0.0
20190304:2206,0.0,0.0,0.0,27.1,4.07,0.0
20190304:2306,0.0,0.0,0.0,27.06,3.93,0.0
20190305:0006,0.0,0.0,0.0,27.04,3.72,0.0
20190305:0106,0.0,0.0,0.0,26.92,3.24,0.0
20190305:0206,0.0,0.0,0.0,26.93,2.83,0.0
20190305:0306,0.0,0.0,0.0,26.91,2.48,0.0
20190305:0406,0.0,0.0,0.0,26.88,2.28,0.0
20190305:0506,0.0,0.0,0.0,26.72,2.14,0.0
20190305:0606,0.0,0.0,0.0,26.6,1.93,0.0
20190305:0706,131.47,189.62,16.09,27.12,2.55,0.0
20190305:0806,254.02,335.54,30.78,28.35,3.59,0.0
20190305:0906,455.06,594.99,45.3,29.21,3.52,0.0
20190305:1006,426.02,562.48,59.37,29.85,3.31,0.0
20190305:1106,359.94,478.04,71.94,30.41,3.24,0.0
20190305:1206,497.79,664.76,77.26,30.76,3.24,0.0
20190305:1306,561.61,751.56,68.87,31.08,3.45,0.0
20190305:1406,602.26,798.95,55.66,30.7,3.86,0.0
20190305:1506,433.69,567.56,41.42,30.27,4.0,0.0
20190305:1606,277.31,369.17,26.85,29.94,4.07,0.0
20190305:1706,80.71,127.19,12.12,29.39,3.72,0.0
20190305:1806,0.0,0.0,0.0,28.76,3.17,0.0
20190305:1906,0.0,0.0,0.0,28.29,3.24,0.0
20190305:2006,0.0,0.0,0.0,28.06,3.03,0.0
20190305:2106,0.0,0.0,0.0,27.93,3.31,0.0
20190305:2206,0.0,0.0,0.0,27.88,3.86,0.0
20190305:2306,0.0,0.0,0.0,27.89,4.28,0.0
20190306:0006,0.0,0.0,0.0,27.84,4.34,0.0
20190306:0106,0.0,0.0,0.0,27.8,4.0,0.0
20190306:0206,0.0,0.0,0.0,27.71,3.66,0.0
20190306:0306,0.0,0.0,0.0,27.68,3.38,0.0
20190306:0406,0.0,0.0,0.0,27.61,3.24,0.0
20190306:0506,0.0,0.0,0.0,27.55,3.1,0.0
20190306:0606,0.0,0.0,0.0,27.56,3.03,0.0
20190306:0706,52.88,84.1,16.2,27.95,3.72,0.0
20190306:0806,159.25,217.34,30.91,28.61,4.07,0.0
20190306:0906,439.2,573.31,45.46,29.68,4.14,0.0
20190306:1006,493.69,652.45,59.58,30.47,3.79,0.0
20190306:1106,574.63,766.82,72.25,30.85,3.79,0.0
20190306:1206,54.43,86.79,77.64,30.6,4.41,0.0
20190306:1306,50.78,81.86,69.05,30.13,4.62,0.0
20190306:1406,46.74,75.94,55.75,27.92,3.38,0.0
20190306:1506,67.03,101.58,41.46,26.95,3.38,0.0
20190306:1606,97.85,140.23,26.86,26.76,2.62,0.0
20190306:1706,40.07,67.58,12.12,26.9,2.21,0.0
20190306:1806,0.0,0.0,0.0,26.93,2.14,0.0
20190306:1906,0.0,0.0,0.0,26.96,2.34,0.0
20190306:2006,0.0,0.0,0.0,27.13,2.0,0.0
20190306:2106,0.0,0.0,0.0,27.25,1.66,0.0
20190306:2206,0.0,0.0,0.0,27.35,1.59,0.0
20190306:2306,0.0,0.0,0.0,27.31,1.66,0.0
20190307:0006,0.0,0.0,0.0,27.14,1.59,0.0
20190307:0106,0.0,0.0,0.0,26.97,1.72,0.0
20190307:0206,0.0,0.0,0.0,26.86,1.86,0.0
20190307:0306,0.0,0.0,0.0,26.74,1.93,0.0
20190307:0406,0.0,0.0,0.0,26.77,2.07,0.0
20190307:0506,0.0,0.0,0.0,26.76,2.0,0.0
20190307:0606,0.0,0.99,1.51,26.6,1.79,0.0
20190307:0706,112.59,163.33,16.32,27.19,2.48,0.0
20190307:0806,297.81,391.4,31.04,27.96,2.9,0.0
20190307:0906,507.62,660.34,45.61,28.56,3.86,0.0
20190307:1006,530.98,696.59,59.78,29.24,4.14,0.0
20190307:1106,655.25,871.91,72.56,30.03,4.28,0.0
20190307:1206,697.37,933.36,78.01,30.38,4.34,0.0
20190307:1306,661.57,881.83,69.23,30.6,4.34,0.0
20190307:1406,566.58,747.75,55.83,30.49,4.14,0.0
20190307:1506,401.45,527.36,41.5,29.44,2.9,0.0
20190307:1606,233.33,312.84,26.87,28.95,2.69,0.0
20190307:1706,68.07,108.19,12.12,28.8,2.55,0.0
20190307:1806,0.0,0.0,0.0,28.32,2.14,0.0
20190307:1906,0.0,0.0,0.0,27.79,2.76,0.0
20190307:2006,0.0,0.0,0.0,27.54,2.76,0.0
20190307:2106,0.0,0.0,0.0,27.41,2.69,0.0
20190307:2206,0.0,0.0,0.0,27.29,2.55,0.0
20190307:2306,0.0,0.0,0.0,27.16,2.62,0.0
20190308:0006,0.0,0.0,0.0,26.99,2.69,0.0
20190308:0106,0.0,0.0,0.0,26.83,2.55,0.0
20190308:0206,0.0,0.0,0.0,26.7,2.41,0.0
20190308:0306,0.0,0.0,0.0,26.58,2.28,0.0
20190308:0406,0.0,0.0,0.0,26.52,2.21,0.0
20190308:0506,0.0,0.0,0.0,26.52,2.21,0.0
20190308:0606,0.0,2.96,1.61,26.57,2.34,0.0
20190308:0706,125.24,180.58,16.43,27.05,2.21,0.0
20190308:0806,288.23,379.51,31.17,28.4,3.17,0.0
20190308:0906,430.1,562.63,45.77,29.03,3.38,0.0
20190308:1006,583.25,773.95,59.98,29.79,3.45,0.0
20190308:1106,652.37,875.97,72.86,30.56,3.66,0.0
20190308:1206,698.24,943.61,78.38,30.87,3.72,0.0
20190308:1306,645.45,864.43,69.4,30.92,3.93,0.0
20190308:1406,563.54,741.18,55.9,30.35,4.48,0.0
20190308:1506,457.18,594.87,41.53,29.95,4.69,0.0
20190308:1606,258.08,343.12,26.88,29.56,4.83,0.0
20190308:1706,61.95,99.08,12.11,29.17,4.62,0.0
20190308:1806,0.0,0.0,0.0,28.6,4.0,0.0
20190308:1906,0.0,0.0,0.0,28.03,3.38,0.0
20190308:2006,0.0,0.0,0.0,27.74,3.24,0.0
20190308:2106,0.0,0.0,0.0,27.62,3.45,0.0
20190308:2206,0.0,0.0,0.0,27.5,3.72,0.0
20190308:2306,0.0,0.0,0.0,27.33,3.79,0.0
20190309:0006,0.0,0.0,0.0,27.15,3.86,0.0
20190309:0106,0.0,0.0,0.0,26.96,3.66,0.0
20190309:0206,0.0,0.0,0.0,26.83,3.52,0.0
20190309:0306,0.0,0.0,0.0,26.81,3.38,0.0
20190309:0406,0.0,0.0,0.0,26.63,2.9,0.0
20190309:0506,0.0,0.0,0.0,26.42,2.97,0.0
20190309:0606,0.0,2.96,1.72,26.35,2.76,0.0
20190309:0706,89.02,131.21,16.55,26.92,2.34,0.0
20190309:0806,257.57,340.02,31.31,27.95,3.1,0.0
20190309:0906,518.52,680.18,45.92,29.02,3.17,0.0
20190309:1006,628.87,840.09,60.19,29.96,3.17,0.0
20190309:1106,664.69,895.18,73.16,30.39,3.38,0.0
20190309:1206,644.97,866.11,78.76,30.66,3.72,0.0
20190309:1306,648.35,866.64,69.56,30.97,4.14,0.0
20190309:1406,563.09,742.41,55.97,30.58,4.28,0.0
20190309:1506,456.29,592.95,41.56,28.75,3.86,0.0
20190309:1606,269.47,356.93,26.89,28.85,4.55,0.0
20190309:1706,75.37,118.98,12.11,28.42,4.83,0.0
20190309:1806,0.0,0.0,0.0,27.47,4.69,0.0
20190309:1906,0.0,0.0,0.0,27.72,4.28,0.0
20190309:2006,0.0,0.0,0.0,27.4,3.79,0.0
20190309:2106,0.0,0.0,0.0,27.27,3.38,0.0
20190309:2206,0.0,0.0,0.0,27.18,2.97,0.0
20190309:2306,0.0,0.0,0.0,27.15,2.83,0.0
20190310:0006,0.0,0.0,0.0,27.08,2.9,0.0
20190310:0106,0.0,0.0,0.0,26.95,2.97,0.0
20190310:0206,0.0,0.0,0.0,26.75,2.97,0.0
20190310:0306,0.0,0.0,0.0,26.68,2.97,0.0
20190310:0406,0.0,0.0,0.0,26.64,2.9,0.0
20190310:0506,0.0,0.0,0.0,26.63,2.76,0.0
20190310:0606,0.0,2.96,1.83,26.67,2.55,0.0
20190310:0706,120.7,173.93,16.66,27.36,3.31,0.0
20190310:0806,263.96,346.92,31.44,28.27,4.41,0.0
20190310:0906,283.43,373.58,46.08,29.13,3.93,0.0
20190310:1006,476.04,627.53,60.39,29.62,3.52,0.0
20190310:1106,518.92,687.66,73.47,29.65,3.52,0.0
20190310:1206,526.19,697.2,79.13,29.94,3.86,0.0
20190310:1306,654.31,870.75,69.71,30.32,4.28,0.0
20190310:1406,469.76,617.89,56.04,30.11,3.93,0.0
20190310:1506,329.41,430.23,41.59,28.42,3.72,0.0
20190310:1606,179.48,243.1,26.89,28.01,2.9,0.0
20190310:1706,75.23,118.65,12.09,27.7,3.45,0.0
20190310:1806,0.0,0.0,0.0,27.63,3.03,0.0
20190310:1906,0.0,0.0,0.0,27.57,2.55,0.0
20190310:2006,0.0,0.0,0.0,27.46,2.34,0.0
20190310:2106,0.0,0.0,0.0,27.32,1.66,0.0
20190310:2206,0.0,0.0,0.0,27.01,1.31,0.0
20190310:2306,0.0,0.0,0.0,26.98,1.59,0.0
20190311:0006,0.0,0.0,0.0,26.93,1.93,0.0
